,tconst,averageRating,numVotes,weightedRating,primaryTitle,startYear,runtimeMinutes
74587,tt0076155,7.5,5625,7.091836734693878,The Man Who Loved Women,1977,120
4195794,tt5662932,7.3,11027,7.091822799566991,Raman Raghav 2.0,2016,133
47755,tt0048613,8.1,2276,7.091787652148409,Shree 420,1955,168
23786,tt0024188,7.4,7443,7.091767099220171,Island of Lost Souls,1932,70
2574912,tt2182121,8.2,2070,7.091762098263761,Silent Ones,2013,97
126024,tt0129387,7.1,277344,7.091731272987061,There's Something About Mary,1998,119
737044,tt0759952,8.3,1895,7.091596951106154,American Zeitgeist,2006,150
4523706,tt6394430,8.5,1622,7.091390579220194,For Good Old Times,2018,105
3373303,tt3822388,7.9,2825,7.091374663072776,Madras,2014,156
20762,tt0021079,7.3,10947,7.091359501488301,Little Caesar,1931,79
857501,tt0884328,7.1,264148,7.091353908724943,The Mist,2007,126
3010661,tt2980626,7.6,4490,7.091353001017294,Twinsters,2015,89
4306472,tt5912454,7.3,10940,7.091318864774625,Blue Jay,2016,80
176961,tt0183306,8.0,2512,7.09130561209654,Jinnah,1998,110
31598,tt0032156,7.9,2822,7.091287470347207,The Story of the Last Chrysanthemum,1939,143
3941609,tt5095030,7.1,260484,7.0912429418111,Ant-Man and the Wasp,2018,118
966430,tt0996966,7.7,3744,7.091177289173392,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,103
16642,tt0016884,7.7,3741,7.091113739953377,Flesh and the Devil,1926,112
97106,tt0099266,7.6,4472,7.091042345276874,My Mother's Castle,1990,98
3960519,tt5137380,8.0,2504,7.091041303083188,Kanche,2015,126
5581393,tt8665634,8.6,1507,7.090964650846947,Qismat,2018,137
38325,tt0038988,7.4,7356,7.090938311286933,The Strange Love of Martha Ivers,1946,116
775875,tt0800039,7.1,250360,7.090920976176641,Forgetting Sarah Marshall,2008,111
1800472,tt1373120,7.6,4464,7.090904154222101,Breathless,2008,130
122272,tt0125439,7.1,249580,7.090895185374026,Notting Hill,1999,124
318847,tt0332379,7.1,248632,7.090863641679335,School of Rock,2003,109
2196457,tt1784575,7.3,10861,7.090859150609297,The Parade,2011,115
34417,tt0035019,7.5,5549,7.090821303479656,The Major and the Minor,1942,100
2122424,tt1706620,7.1,246803,7.090802161859876,Snowpiercer,2013,126
117461,tt0120176,7.2,20769,7.090755751709674,The Spanish Prisoner,1997,110
39520,tt0040202,7.4,7336,7.090747154873824,Call Northside 777,1948,112
301758,tt0314725,7.8,3198,7.090729838995673,Standing in the Shadows of Motown,2002,108
72638,tt0074147,7.6,4452,7.090696726877632,Face to Face,1976,114
371019,tt0386651,7.6,4451,7.090679433635531,Mountain Patrol,2004,85
213854,tt0222851,7.2,20734,7.090672147636333,Brother,2000,114
120327,tt0123391,8.6,1501,7.090622995358666,Brigada Diverse intrã în actiune,1970,100
4501748,tt6346162,8.6,1501,7.090622995358666,Disney's Newsies the Broadway Musical,2017,149
4761736,tt6916362,7.4,7321,7.090603632313356,The Purity of Vengeance,2018,119
57802,tt0058898,7.2,20705,7.090602778689421,Alphaville,1965,99
42172,tt0042906,7.6,4446,7.0905929498064255,La Ronde,1950,93
29483,tt0029992,7.5,5529,7.090553244456091,A Christmas Carol,1938,69
77238,tt0078872,7.3,10807,7.090543748429077,The Black Stallion,1979,118
62440,tt0063671,7.4,7310,7.090498297740638,Targets,1968,90
83628,tt0085461,7.6,4440,7.090489130434783,The Dresser,1983,118
1772134,tt1343727,7.1,237374,7.0904716168522794,Dredd,2012,95
251714,tt0262432,7.4,7307,7.090469557680998,George Washington,2000,89
2527789,tt2129928,8.1,2239,7.090418150446052,Bones Brigade: An Autobiography,2012,90
64365,tt0065649,7.5,5516,7.09037881766942,Dodes'ka-den,1970,140
2682970,tt2304426,7.3,10778,7.090373972832467,The Selfish Giant,2013,91
2467300,tt2066176,7.5,5513,7.090338544227051,Any Day Now,2012,98
285947,tt0298203,7.1,231821,7.090265593545698,8 Mile,2002,110
105293,tt0107617,7.4,7284,7.090249039772023,The Scent of Green Papaya,1993,104
54075,tt0055093,7.6,4426,7.090246720587236,Lola,1961,90
2579390,tt2187115,7.4,7281,7.090220253399832,Child's Pose,2013,112
70979,tt0072446,7.9,2785,7.090210545258233,The Promised Land,1975,179
117868,tt0120611,7.1,230278,7.090206754988678,Blade,1998,120
478887,tt0497465,7.1,229827,7.0901894226279,Vicky Cristina Barcelona,2008,96
64245,tt0065528,7.2,20521,7.090160585224402,Catch-22,1970,122
4112889,tt5477194,8.0,2476,7.090115009462804,Iraivi,2016,160
46635,tt0047469,7.5,5490,7.090029517874713,Senso,1954,123
450940,tt0468704,7.5,5480,7.08989501312336,Deiji,2006,110
3257757,tt3557258,9.1,1118,7.089892028486101,Caur Adatu,2014,74
99065,tt0101279,8.1,2223,7.089824780516475,The Stranger,1991,120
88617,tt0090570,7.4,7239,7.089816681658861,84 Charing Cross Road,1987,100
3080791,tt3148502,7.2,20375,7.089807162534435,Tamasha,2015,139
796691,tt0821442,7.4,7236,7.0897878148653675,A Dirty Carnival,2006,141
91193,tt0093206,7.4,7233,7.089758942698477,Red Sorghum,1987,91
49903,tt0050798,7.3,10672,7.089751065261269,Old Yeller,1957,83
3411856,tt3909336,7.4,7230,7.089730065156687,Worlds Apart,2015,113
92624,tt0094675,7.5,5466,7.089706558130374,Ariel,1988,72
955453,tt0985699,7.1,216139,7.089632535591505,Valkyrie,2008,121
43166,tt0043918,7.7,3671,7.089627149384396,The Little World of Don Camillo,1952,107
131207,tt0134847,7.1,215795,7.089617724620528,Pitch Black,2000,109
3870840,tt4936450,7.3,10645,7.089591808107729,Graduation,2016,128
64139,tt0065417,8.2,2017,7.0895880371617865,Days and Nights in the Forest,1970,115
64662,tt0065955,7.5,5455,7.089558364800525,A Swedish Love Story,1970,115
3374763,tt3825638,7.3,10636,7.089538668761926,Labyrinth of Lies,2014,124
6013122,tt9577852,7.8,3149,7.089495186329888,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,142
2876099,tt2660888,7.1,212908,7.089491736301427,Star Trek Beyond,2016,122
100397,tt0102636,7.9,2760,7.089481268011528,Parinda,1989,154
80443,tt0082183,7.4,7195,7.089392762851374,La Chevre,1981,95
2796493,tt2465578,7.3,10610,7.0893850042123,Human Capital,2013,111
1832045,tt1405810,7.3,10609,7.089379089556012,Loose Cannons,2010,110
408692,tt0425321,7.5,5438,7.089329128063604,The Yacoubian Building,2006,161
201758,tt0209933,7.4,7188,7.089325214365602,Beau travail,1999,92
5826802,tt9185066,9.2,1058,7.0893238161025405,Human Capital,2019,95
67833,tt0069198,7.5,5436,7.089302142200026,The Ruling Class,1972,154
1562248,tt1124035,7.1,208553,7.089295791533399,The Ides of March,2011,101
234005,tt0243889,7.8,3140,7.089267945984364,Eureka,2000,217
812214,tt0837562,7.1,207471,7.089245970465132,Hotel Transylvania,2012,91
290356,tt0302886,7.1,205452,7.089151753944422,Old School,2003,88
3780211,tt4730986,7.4,7169,7.08914172028972,Divines,2016,105
100333,tt0102571,8.0,2446,7.089120454711069,The Elementary School,1991,100
287343,tt0299658,7.1,203305,7.08904973609864,Chicago,2002,113
134294,tt0138097,7.1,203142,7.089041912493096,Shakespeare in Love,1998,123
321764,tt0335345,7.1,202864,7.089028543341642,The Passion of the Christ,2004,127
735903,tt0758774,7.1,201585,7.08896661297085,Body of Lies,2008,128
5172828,tt7794052,8.8,1299,7.0889083235104,Merku Thodarchi Malai,2018,122
14747,tt0014972,7.9,2740,7.088896899783705,He Who Gets Slapped,1924,95
51049,tt0051980,8.0,2438,7.0888548728041405,The Ballad of Narayama,1958,98
3152159,tt3313066,8.7,1378,7.088808855864736,Coriolanus,2014,192
1874123,tt1449283,7.2,19942,7.088745494192516,Winnie the Pooh,2011,63
52336,tt0053317,8.0,2433,7.088688805453287,Fate of a Man,1959,103
60704,tt0061882,7.4,7120,7.088667496886675,Branded to Kill,1967,91
2733068,tt2361509,7.1,195039,7.088638377742127,The Intern,2015,121
